DATE,POSITIVES / POPULATION,(POSITIVES TODAY) / (POSITIVES 10 DD BACK),VALUE,REGION
2020-05-05,0.0037022376,1.0759725002,463.65,Lombardia
2020-05-05,0.002092903,0.983801956,40.2375,Marche
2020-05-05,0.000570142,0.8939393939,2.2125,Molise
2020-05-05,0.001224,0.5913043478,7.65,P.A. Bolzano
2020-05-05,0.001849483,0.5969036697,13.0125,P.A. Trento
2020-05-05,0.0034884256,0.9884531028,191.5375,Piemonte
2020-05-05,0.0007231991,1.0068516615,36.7375,Puglia
2020-05-05,0.000388353,0.8085642317,8.025,Sardegna
2020-05-05,0.0004354669,0.9691901408,27.525,Sicilia
2020-05-05,0.0013867969,0.8444516759,64.875,Toscana
2020-05-05,0.0001979957,0.5925925926,2.2,Umbria
2020-05-05,0.0008669404,0.3514376997,1.375,Valle d'Aosta
2020-05-05,0.0014500169,0.7544529262,88.95,Veneto
